,int.,,,,,,,,,
ID,CTL,24hr,6hr,3hr,,,,,,
PH_hs_0000262,76.14814815,114.8888889,99.27777778,100.2222222,,,,,,
PH_hs_0000263,84.5,63.05555556,67.27777778,80.27777778,,,,,,
PH_hs_0000264,16.96296296,22.38888889,14.88888889,25.55555556,,,,,,
PH_hs_0000265,22,16.55555556,15.55555556,15.72222222,,,,,,
PH_hs_0000266,184.037037,169.7222222,174.2222222,200.8888889,,,,,,
PH_hs_0000267,736.037037,399.1666667,564.2222222,544.5833333,,,,,,
PH_hs_0000268,41.88888889,26.38888889,25.88888889,37.88888889,,,,,,
PH_hs_0000269,32.81481481,34.72222222,40.5,36.5,,,,,,
PH_hs_0000270,77,68.94444444,76.44444444,74.38888889,,,,,,
PH_hs_0000271,499.0185185,422.2222222,465.9444444,341.7777778,,,,,,
PH_hs_0000272,3.740740741,3.666666667,4.222222222,2.666666667,,,,,,
PH_hs_0000273,162.5555556,198.8055556,161.6388889,164.6666667,,,,,,
PH_hs_0000274,554.1666667,1658.027778,5499.333333,2099.055556,,,,,,
PH_hs_0000276,64.25925926,64.77777778,98.77777778,85.94444444,,,,,,
PH_hs_0000277,523.2037037,824.4722222,365.8333333,481.1111111,,,,,,
PH_hs_0000278,549.1851852,526.5277778,552.6666667,529.8611111,,,,,,
PH_hs_0000279,399.7777778,456.1111111,848.4722222,661.1388889,,,,,,
PH_hs_0000280,3383.407407,2659.75,2676.555556,2623.5,,,,,,
PH_hs_0000281,3.185185185,2.611111111,3.388888889,3.888888889,,,,,,
PH_hs_0000282,46.96296296,29.38888889,32.61111111,47.5,,,,,,
PH_hs_0000283,160.1111111,148.9444444,83.5,73.11111111,,,,,,
PH_hs_0000284,39.11111111,43.05555556,30.61111111,29.44444444,,,,,,
PH_hs_0000285,66.25925926,56.11111111,62.11111111,45.5,,,,,,
PH_hs_0000287,6570.888889,3631.027778,8523.138889,10300.66667,,,,,,
PH_hs_0000288,162.2407407,114.6666667,185.75,150.2777778,,,,,,
PH_hs_0000289,625.5555556,533.25,675.0277778,793.3888889,,,,,,
PH_hs_0000290,6.407407407,9,9.777777778,16.16666667,,,,,,
PH_hs_0000291,1319.444444,480.8611111,1083.916667,1236.944444,,,,,,
PH_hs_0000292,804.9444444,673.5555556,942.8055556,940.3333333,,,,,,
PH_hs_0000293,107.3703704,107.9444444,129.6666667,118.6388889,,,,,,
PH_hs_0000294,13.40740741,14,9.333333333,9.888888889,,,,,,
PH_hs_0000295,35436.2963,40296.11111,35443.38889,29241.55556,,,,,,
PH_hs_0000296,35.2962963,30.66666667,27.33333333,34.55555556,,,,,,
PH_hs_0000297,85.16666667,69.94444444,80.27777778,76.66666667,,,,,,
PH_hs_0000298,6.666666667,5.166666667,5.444444444,8.666666667,,,,,,
PH_hs_0000299,50.01851852,34.5,32,29.5,,,,,,
PH_hs_0000300,17.66666667,23.22222222,19.11111111,25.66666667,,,,,,
PH_hs_0000302,6.814814815,9.944444444,8.555555556,13.55555556,,,,,,
PH_hs_0000303,208.6111111,292.6944444,314.5277778,343.7777778,,,,,,
PH_hs_0000304,12.96296296,9.888888889,9.777777778,5.666666667,,,,,,
PH_hs_0000305,30.2962963,66.16666667,44.72222222,68.44444444,,,,,,
PH_hs_0000306,2811.666667,1400.444444,2172.694444,2127.666667,,,,,,
PH_hs_0000307,58,88.88888889,68.44444444,85.27777778,,,,,,
PH_hs_0000308,18.81481481,15.55555556,19.55555556,16.05555556,,,,,,
PH_hs_0000309,55.11111111,58.77777778,41.61111111,27.61111111,,,,,,
PH_hs_0000310,5.740740741,4.833333333,5.166666667,1.944444444,,,,,,
PH_hs_0000311,44.77777778,35.5,58.30555556,41.5,,,,,,
PH_hs_0000312,14.85185185,12.61111111,15.72222222,18.5,,,,,,
PH_hs_0000313,5.296296296,5.777777778,5.444444444,4.722222222,,,,,,
PH_hs_0000314,6.666666667,6.055555556,9.333333333,10,,,,,,
PH_hs_0000315,161.2222222,145.1111111,99.38888889,123.0555556,,,,,,
PH_hs_0000316,502.5740741,328.0277778,205.1666667,596.25,,,,,,
PH_hs_0000317,2.074074074,0.333333333,2.277777778,2.666666667,,,,,,
PH_hs_0000318,243.0740741,194.3333333,230.8611111,195.1944444,,,,,,
PH_hs_0000320,29.25925926,26.58333333,25.16666667,25.88888889,,,,,,
PH_hs_0000321,21.44444444,25.16666667,33,25.16666667,,,,,,
PH_hs_0000322,274.7407407,163.5,104.2777778,212.2222222,,,,,,
PH_hs_0000323,417.9444444,2799.388889,1165.722222,990.75,,,,,,
