probe id,Control,0.25mg-6hr,0.25mg-24hr,0.25mg-48hr,0.50mg-6hr,0.50mg-24hr,0.50mg-48hr,,,,,,,,,,,,,,,,,,,
PH_hs_0000113,148.9920635,222.0952381,242.3730159,230.7539683,222.4126984,197.7619048,270.3492063,,,,,,,,,,,,,,,,,,,
PH_hs_0000114,2067.730159,893.7063492,771.8253968,1948.444444,931.2777778,848.8968254,1227.674603,,,,,,,,,,,,,,,,,,,
PH_hs_0000115,6357.079365,8719.746032,8702.968254,8409.761905,7719.357143,6428.095238,6653.126984,,,,,,,,,,,,,,,,,,,
PH_hs_0000116,2.619047619,3.063492063,3.968253968,4.492063492,2,5.047619048,3.904761905,,,,,,,,,,,,,,,,,,,
PH_hs_0000117,147.4126984,6.142857143,6.666666667,5.174603175,5.714285714,10.28571429,3.904761905,,,,,,,,,,,,,,,,,,,
PH_hs_0000118,4.404761905,3.349206349,5.73015873,6.634920635,5.317460317,7.80952381,4.531746032,,,,,,,,,,,,,,,,,,,
PH_hs_0000119,11.65079365,12.15873016,14.22222222,18.20634921,11.50793651,85.73015873,13.98412698,,,,,,,,,,,,,,,,,,,
PH_hs_0000121,2.841269841,6.380952381,5.746031746,9.285714286,5.015873016,229.3492063,6.76984127,,,,,,,,,,,,,,,,,,,
PH_hs_0000122,597.2222222,669.2301587,1237.722222,1490.666667,1023.412698,1012.396825,1529.150794,,,,,,,,,,,,,,,,,,,
PH_hs_0000123,9.317460317,12.65079365,17.96825397,18.88888889,18.36507937,33.71428571,23.07936508,,,,,,,,,,,,,,,,,,,
PH_hs_0000124,4.444444444,4.253968254,7.650793651,6.80952381,6.047619048,9.825396825,5.380952381,,,,,,,,,,,,,,,,,,,
PH_hs_0000126,7.904761905,6.936507937,9.888888889,8.904761905,8.412698413,10.41269841,5.841269841,,,,,,,,,,,,,,,,,,,
PH_hs_0000128,6.26984127,3.142857143,5.079365079,8.142857143,2.777777778,4.682539683,9.277777778,,,,,,,,,,,,,,,,,,,
PH_hs_0000129,11.6984127,5.071428571,3.873015873,6.349206349,4.904761905,8.079365079,6,,,,,,,,,,,,,,,,,,,
PH_hs_0000130,4.484126984,5.793650794,4.222222222,9.492063492,5.444444444,24.63492063,6.888888889,,,,,,,,,,,,,,,,,,,
PH_hs_0000131,1722.746032,1807.579365,1777.611111,1743.761905,1331.190476,1706.587302,1466.166667,,,,,,,,,,,,,,,,,,,
PH_hs_0000132,17.93650794,49.83333333,69.36507937,51.46031746,89.65079365,153.4761905,97.71428571,,,,,,,,,,,,,,,,,,,
PH_hs_0000133,325.7063492,314.6349206,302.1111111,268.6111111,224.3968254,161.1111111,345.7380952,,,,,,,,,,,,,,,,,,,
PH_hs_0000134,15.14285714,8.444444444,5.698412698,26.74603175,16.3015873,691.0873016,27.16666667,,,,,,,,,,,,,,,,,,,
PH_hs_0000135,63.84126984,104.7063492,100.9603175,69.77777778,89.32539683,148.6111111,64.93650794,,,,,,,,,,,,,,,,,,,
PH_hs_0000136,67.61904762,62.84126984,69.66666667,98.3968254,60.33333333,102.3888889,77.79365079,,,,,,,,,,,,,,,,,,,
PH_hs_0000137,461.8095238,614.9285714,639.9365079,577.7539683,689.7380952,715.4444444,572.468254,,,,,,,,,,,,,,,,,,,
PH_hs_0000138,0.857142857,1.746031746,2.682539683,1.714285714,1.579365079,2.952380952,1.880952381,,,,,,,,,,,,,,,,,,,
PH_hs_0000140,14.68253968,16.02380952,15.41269841,25.14285714,10.95238095,23.95238095,20.58730159,,,,,,,,,,,,,,,,,,,
PH_hs_0000141,15.63492063,15.70634921,16.38095238,92.68253968,19.11111111,62.52380952,9.126984127,,,,,,,,,,,,,,,,,,,
PH_hs_0000142,129.4761905,74.62698413,67.15079365,200.3333333,70.67460317,117.6825397,277.8571429,,,,,,,,,,,,,,,,,,,
PH_hs_0000143,162.968254,391.4920635,448.7936508,372.1269841,423.8174603,268.2380952,245.1746032,,,,,,,,,,,,,,,,,,,
PH_hs_0000144,19.74603175,27.52380952,27.23015873,20.73015873,23.6984127,18.47619048,31.20634921,,,,,,,,,,,,,,,,,,,
PH_hs_0000145,220.5873016,213.3650794,235.952381,263.2777778,156.9047619,162.6825397,427.2460317,,,,,,,,,,,,,,,,,,,
PH_hs_0000146,41.93650794,37.58730159,48.76190476,47.62698413,64.85714286,70.85714286,112.1587302,,,,,,,,,,,,,,,,,,,
PH_hs_0000148,10.07936508,11.93650794,11.88888889,13.92063492,12.01587302,16.58730159,10.26190476,,,,,,,,,,,,,,,,,,,
PH_hs_0000149,6.777777778,14.76190476,15.42857143,18.6031746,9.952380952,523.484127,18.42857143,,,,,,,,,,,,,,,,,,,
PH_hs_0000150,3.126984127,4.095238095,3.095238095,9.031746032,5.26984127,5.238095238,4.873015873,,,,,,,,,,,,,,,,,,,
PH_hs_0000151,17,22.44444444,21.68253968,19.46031746,22.07936508,49.16666667,20.61904762,,,,,,,,,,,,,,,,,,,
PH_hs_0000152,51.72222222,10.01587302,10.47619048,6.396825397,8.507936508,77.57936508,6.674603175,,,,,,,,,,,,,,,,,,,
PH_hs_0000153,10.11111111,8.507936508,9.253968254,9.428571429,8.80952381,14.06349206,6.761904762,,,,,,,,,,,,,,,,,,,
PH_hs_0000154,0.126984127,-1.301587302,-0.174603175,0.888888889,-0.174603175,0.444444444,-0.182539683,,,,,,,,,,,,,,,,,,,
PH_hs_0000155,117.5555556,151.9285714,137.1031746,181.1031746,108.9365079,1590.238095,138.5952381,,,,,,,,,,,,,,,,,,,
PH_hs_0000156,21.3968254,16.11111111,12.42857143,19.6031746,16.33333333,21.61904762,19.31746032,,,,,,,,,,,,,,,,,,,
PH_hs_0000157,99.55555556,163.2222222,131.6349206,96.37301587,99.13492063,77.5,77.80952381,,,,,,,,,,,,,,,,,,,
