name,geneID,1460_6hr,1460_24hr,1461_6hr,1461_24hr,1460_6hr_log2,1460_24hrlog2,1461_6hr_log2,1461_24hr_log2
PBLD,PH_hs_0001509,60.75,59.45833333,59,77.69444444,0.062691778,0.031686393,0.020522324,0.417618812
DDX20,PH_hs_0004017,299.7708333,253.6111111,231.1111111,299.6666667,-0.056143843,-0.297385911,-0.431417242,-0.056645249
MORN3,PH_hs_0020194,77.5,65.86111111,69.69444444,61.48611111,0.361241019,0.12647156,0.208088368,0.02730527
STK17B,PH_hs_0048442,936.75,748.75,851.3472222,1024.805556,0.13723403,-0.185945944,-0.000682387,0.266848254
PAFAH1B3,PH_hs_0000685,566.6666667,568.6666667,566.4861111,603.2083333,-0.178105326,-0.173022425,-0.178565081,-0.087949307
ALK,PH_hs_0024837,62.20833333,59.44444444,65.47222222,56.47222222,0.339427306,0.273861436,0.413202398,0.199860855
SMC1B,PH_hs_0032707,93.83333333,73.36111111,76.59722222,81.79166667,0.213663627,-0.1414214,-0.079144816,0.015516972
VAV2,PH_hs_0048444,305.0833333,278.1111111,270.4027778,312.6111111,0.120345635,-0.013196348,-0.05374776,0.155511324
ENOSF1,PH_hs_0048085,644.8333333,505.75,482.0694444,627.3611111,-0.098018474,-0.448520382,-0.517703808,-0.137648695
C19orf53,PH_hs_0023152,1422.520833,1574.638889,1637.972222,1759.861111,-0.030336673,0.116234559,0.173124436,0.276675121
MORF4L2,PH_hs_0028361,380.2083333,335.5555556,242.8194444,367.0416667,-0.215895569,-0.396134079,-0.862801767,-0.266741874
ZC3H12D,PH_hs_0033753,357.625,421.1805556,432.75,495.6944444,-0.22534294,0.010648301,0.049743287,0.245660557
TXNL4B,PH_hs_0008085,78.27083333,68.55555556,65.59722222,77,-0.047962085,-0.239163307,-0.302802166,-0.071578444
NAPB,PH_hs_0001200,96.875,76,74.5,92.83333333,0.056310528,-0.293814459,-0.322573452,-0.005170956
GGPS1,PH_hs_0048507,100.0208333,152.5,115.2777778,172.25,0.146970179,0.755478892,0.351784079,0.931173632
