"","x"
"900","GGT1|GGTLC2|GGTLC1|GGT3P"
"901","ANXA8|ANXA8L2|ANXA8L1"
"902","CYP4F2"
"903","ZP3|POMZP3"
"904","ST20|BCL2A1"
"905","LOC100133267|DEFB130"
"906","USP17L9P|USP17L29|USP17L28|USP17L27|USP17L26|USP17L24|USP17L25|USP17L30|USP17L22|USP17L21|USP17L20|USP17L19|USP17L18|USP17L17|USP17L11|USP17L12|USP17L10|USP17L15|USP17L1P|USP17L5|USP17L3|USP17L7|USP17L2|USP17L13|USP17L4|USP17L8"
"907","GH2|CSH1|CSH2|LOC100996784|CSHL1|GH1"
"908","AKR1C1|LOC101060798"
"909","FXYD2|FXYD6-FXYD2"
"910","CCL4|LOC101060278|CCL4L1|CCL4L2"
"911","SSX4|SSX4B|SSX1|SSX8|SSX5|SSX6|SSX2|SSX2B|SSX3|SSX7"
"912","HCAR3|HCAR2"
"913","LOC100996546"
"914","LOC100505836"
"915","LOC100506504"
"916","LOC100132731"
"917","RAB44"
"918","LOC101059921"
"919","USP17L20|USP17L18|USP17L11|USP17L10|USP17L15|USP17L9P|USP17L2|USP17L29|USP17L28|USP17L27|USP17L26|USP17L24|USP17L25|USP17L30|USP17L22|USP17L21|USP17L19|USP17L17|USP17L13|USP17L12|USP17L1P|USP17L5|USP17L3|USP17L7|USP17L4|USP17L8"
"920","LOC100507855"
"921","USP17L13|USP17L9P|USP17L29|USP17L28|USP17L27|USP17L26|USP17L24|USP17L25|USP17L30|USP17L22|USP17L21|USP17L20|USP17L19|USP17L18|USP17L17|USP17L11|USP17L12|USP17L10|USP17L15|USP17L1P|USP17L5|USP17L3|USP17L7|USP17L2|USP17L4|USP17L8"
"922","GGT2|GGT3P|GGT1|GGTLC2|LOC101060682|GGTLC1"
"923","LOC100133301|LOC729574|LOC101060384|LOC729587|LOC101060425|LOC101060568|LOC644634|LOC100996721|LOC100996741|LOC388692"
"924","POM121L8P"
"925","ANAPC1"
